Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-avuh,checkpoint-nnz8,checkpoint-a42j,checkpoint-dy11,checkpoint-pxfe,checkpoint-2q1l,checkpoint-d6dn,checkpoint-ousn,randomiser-s8gy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1616670786480,25/03/2021 11:13:06,1616670714701,0,25/03/2021 11:11:54,47307,12,task-jd1t,,11307113,600ace3369d46b0520b289aa,3448554,,complete,,605c5feb77974824bbe0dc48,computer,Desktop or Laptop,Mac OS 10.14,Firefox 87.0,1440x900,928x826,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616669849417,25/03/2021 10:57:29,1616669849252,11,25/03/2021 21:57:29,47307,12,task-jd1t,,11306001,5b2150d538b0be00014137fb,3448119,,complete,,605c5fb9dfe729fbfa7e9a4e,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1920x1080,1920x966,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616668950447,25/03/2021 10:42:30,1616668950281,2,25/03/2021 12:42:30,47307,12,task-jd1t,,11305130,5fc7598336320f000a81a13c,3448084,,complete,,605c628737be1d0c8ff0e341,computer,Desktop or Laptop,Mac OS 10.14,Firefox 87.0,1280x800,1280x630,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616668938375,25/03/2021 10:42:18,1616668940698,0,25/03/2021 10:42:20,47307,12,task-jd1t,,11305119,55057a56fdf99b5b566a70bb,3448135,,complete,,605c6829a2a65fd2e7ea511e,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1280x720,1280x720,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616668381221,25/03/2021 10:33:01,1616668380473,2,25/03/2021 12:33:00,47307,12,task-jd1t,,11304600,5f9197ba39d009000b3d9268,3447979,,complete,,605c5ea0e25acccc2ded4ed2,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1366x768,1366x626,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667892176,25/03/2021 10:24:52,1616667892113,0,25/03/2021 10:24:52,47307,12,task-jd1t,,11304166,5ba53688bf3b9d000152127c,3447913,,complete,,605c6289fc8d2e3ed10d88d5,computer,Desktop or Laptop,Mac OS 10.13,Firefox 87.0,1280x800,1280x635,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667873717,25/03/2021 10:24:33,1616667876010,0,25/03/2021 10:24:36,47307,12,task-jd1t,,11304148,602e7fe3cfca8aa08cc6d3ff,3447899,,complete,,605c6269aa8678bc250ee46c,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1366x768,1366x656,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667844687,25/03/2021 10:24:04,1616667844403,0,25/03/2021 10:24:04,47307,12,task-jd1t,,11304127,5962a5b29955ee00015bce98,3447845,,complete,,605c614aaa051a18935cf308,computer,Desktop or Laptop,Ubuntu undefined,Firefox 85.0,1024x600,1024x477,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667818867,25/03/2021 10:23:38,1616667815749,11,25/03/2021 21:23:35,47307,12,task-jd1t,,11304108,6030fb6df25202f8c6b7ddc9,3447897,,complete,,605c63b437d9fdc0944bbaef,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1440x900,1280x678,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667673132,25/03/2021 10:21:13,1616667675951,2,25/03/2021 12:21:15,47307,12,task-jd1t,,11304015,6053bf6fde6781a894aa3fdf,3447809,,complete,,605c616d3ff3ac1c7b48bc69,computer,Desktop or Laptop,Windows 7,Firefox 87.0,1360x768,1360x654,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667667940,25/03/2021 10:21:07,1616667667779,0,25/03/2021 10:21:07,47307,12,task-jd1t,,11304011,603ce42815614aaee3b8a7fa,3447838,,complete,,605c61a04e3383af4573974f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 87.0,1366x768,1366x671,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,slice2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
1,1616667627297,25/03/2021 10:20:27,1616667626485,-4,25/03/2021 06:20:26,47307,12,task-jd1t,,11303967,603962ba7dc2aa49b92a445f,3447859,,complete,,605c627b2e01f980b6d386fc,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1366x768,1366x654,PostDebriefCP,browserCheck,14,PostConsentCP,PostBrowserFullscreenCP,PostDebriefCP,PostTenMinBreak,PostFamCP,PostTrainingCP,PostRecogCP,PostThreeItemCP,mask1,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
